id,enhance (2 to 1),annotator (2 to 1),enhance (1 to 0 and 2 to 1),annotator (1 to 0 and 2 to 1)
ISIC\_0000000,1.00,1.00,1.00,1.00
ISIC\_0000001,1.00,1.00,1.00,1.00
ISIC\_0000002,0.67,0.00,0.67,0.00
ISIC\_0000003,1.00,1.00,1.00,1.00
ISIC\_0000004,0.00,0.00,0.00,0.00
ISIC\_0000005,0.33,1.00,0.33,1.00
ISIC\_0000006,0.33,1.00,0.33,1.00
ISIC\_0000007,1.00,1.00,1.00,1.00
ISIC\_0000008,1.00,1.00,1.00,1.00
ISIC\_0000009,0.33,1.00,0.33,1.00
ISIC\_0000010,1.00,1.00,1.00,1.00
ISIC\_0000011,1.00,1.00,1.00,1.00
ISIC\_0000012,0.33,0.00,0.33,0.00
ISIC\_0000013,1.00,1.00,1.00,1.00
ISIC\_0000014,1.00,1.00,1.00,1.00
ISIC\_0000015,1.00,1.00,1.00,1.00
ISIC\_0000016,0.67,1.00,0.67,1.00
ISIC\_0000017,0.33,1.00,0.33,1.00
ISIC\_0000018,0.67,1.00,0.67,1.00
ISIC\_0000019,0.67,1.00,0.67,1.00
ISIC\_0000020,0.00,1.00,0.00,1.00
ISIC\_0000021,0.00,0.00,0.00,0.00
ISIC\_0000022,1.00,1.00,1.00,1.00
ISIC\_0000023,0.00,1.00,0.00,1.00
ISIC\_0000024,0.33,1.00,0.33,1.00
ISIC\_0000025,1.00,0.00,1.00,0.00
ISIC\_0000026,1.00,1.00,1.00,1.00
ISIC\_0000027,1.00,1.00,1.00,1.00
ISIC\_0000028,0.00,0.00,0.00,0.00
ISIC\_0000029,0.67,0.00,0.67,0.00
ISIC\_0000030,1.00,0.00,1.00,0.00
ISIC\_0000031,1.00,1.00,1.00,1.00
ISIC\_0000032,1.00,1.00,1.00,1.00
ISIC\_0000033,0.33,0.00,0.33,0.00
ISIC\_0000034,0.00,0.00,0.00,0.00
ISIC\_0000035,0.33,1.00,0.33,1.00
ISIC\_0000036,0.67,1.00,0.67,1.00
ISIC\_0000037,1.00,1.00,1.00,1.00
ISIC\_0000038,1.00,0.00,1.00,0.00
ISIC\_0000039,0.33,1.00,0.33,1.00
ISIC\_0000040,1.00,1.00,1.00,1.00
ISIC\_0000041,0.00,0.00,0.00,0.00
ISIC\_0000042,1.00,1.00,1.00,1.00
ISIC\_0000043,1.00,1.00,1.00,1.00
ISIC\_0000044,0.33,0.65,0.33,0.65
ISIC\_0000045,0.67,1.00,0.67,1.00
ISIC\_0000046,1.00,1.00,1.00,1.00
ISIC\_0000047,0.33,0.60,0.33,0.60
ISIC\_0000048,0.33,0.55,0.33,0.55
ISIC\_0000049,0.33,0.65,0.33,0.65
ISIC\_0000050,0.67,0.90,0.67,0.90
ISIC\_0000051,1.00,0.75,1.00,0.75
ISIC\_0000052,0.00,0.10,0.00,0.10
ISIC\_0000053,0.67,0.85,0.67,0.85
ISIC\_0000054,0.67,0.50,0.67,0.50
ISIC\_0000055,1.00,0.85,1.00,0.85
ISIC\_0000056,1.00,0.75,1.00,0.75
ISIC\_0000057,0.67,0.90,0.67,0.90
ISIC\_0000058,0.67,0.90,0.67,0.90
ISIC\_0000059,1.00,0.90,1.00,0.90
